"1&1 ipayment credit card","1&1 ipayment Kreditkarte"
"1&1 ipayment direct debit","1&1 ipayment Lastschrift (ELV)"
"Enabled","Aktiviert"
"Sort order","Reihenfolge"
"Title","Titel"
"Payment to applicable countries","Zahlung aus passenden Ländern"
"Payment to specific countries","Zahlung aus bestimmten Ländern"
"Credit Card Types","Kreditkartentypen"
"Card Verification Number","Kartenprüfnummer"
"Transaction Type","Transaktionstyp"
"Account ID","Account-ID"
"Application ID","Anwendungs-ID"
"Application password","Anwendungs-Passwort"
"Action password","Adminaktionspasswort"
"Preauthorization","Autorisierung, spätere Abbuchung"
"Authorization","Autorisierung, sofortige Abbuchung"
"Ipayment error: %s","Ipayment Fehler: %s"
"A failure during payment processing occured. Please try again later.","Ein Fehler während der Zahlungsverarbeitung trat auf. Bitte versuchen Sie es später noch einmal."
"Checkout session is empty.","Die Bestellprozess-Session ist leer."
"Has payment authentication already been processed for this order?","Ist die Zahlungsauthentifizierung für diese Bestellung bereits erfolgt?"
"The order has been canceled.","Die Bestellung wurde storniert."
"Payment has been preauthorized.","Die Zahlung wurde reserviert."
"Payment has been authorized and captured.","Die Zahlung wurde autorisiert und abgebucht."
"Payment preauthorization started.","Vorautorisierung der Zahlung gestartet."
"Payment authorization started.","Autorisierung der Zahlung gestartet."
"Payment has been captured.","Die Zahlung wurde abgebucht."
"Payment has been refunded.","Die Zahlung wurde zurückerstattet."
"Payment has been reversed.","Die Reservierung wurde storniert."
"Failed to refund payment.","Die Rückerstattung konnte nicht erfolgen."
"Storage ID is invalid.","Die Storage ID ist ungültig."
"Can not connect payment service. Please try again later.","Verbindung zum Zahlungs-Dienst derzeit nicht möglich. Bitte versuchen Sie es später noch einmal."
"Can not prepare a request for the payment service. Please check your data.","Die Zahlungsanfrage konnte nicht erstellt werden. Bitte überprüfen Sie Ihre Angaben."
"3D-Secure Credit Cards are not allowed with Multiple Addresses Checkout","3D-Secure Kreditkarten können nicht mit mehreren Versandadressen verwendet werden."
"Change credit card information","Kreditkarten Informationen ändern"
"Change bank account information","Bankdaten ändern"
"Name on Card","Name auf der Karte"
"Credit Card Type","Kreditkartentyp"
"Credit Card Number","Kreditkartennummer"
"Expiration Date","Gültig bis"
"What is this?","Was ist das?"
"Name on the Card: %s","Name auf der Karte: %s"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Number: xxxx-%s","Kreditkartennummer: xxxx-%s"
"Expiration Date: %s/%s","Gültig bis: %s/%s"
"--Please Select--","--Bitte wählen--"
"Month","Monat"
"Year","Jahr"
"Account holder","Kontoinhaber"
"Bank name","Bankname"
"Bank code","Bankleitzahl"
"Account number","Kontonummer"
"Account holder: %s","Kontoinhaber: %s"
"Bank name: %s","Bankname: %s"
"Bank code: %s","Bankleitzahl: %s"
"Account number: xxx%s","Kontonummer: xxx%s"
"Transaction ID: %s","Transaktions-ID: %s"
"Customer was redirected for 3D-Secure payment.","Kunde wurde für 3D-Secure Zahlung weitergeleitet."
"An error during the credit card processing occured: %s","Während der Kreditkartenverarbeitung trat ein Fehler auf: %s"
"Successful 3D-Secure authentication. Status: I. Issuer is authenticated","3D-Secure Authentifizierung erfolgreich. Status: I. Karteninhaber wurde authentifiziert."
"3D-Secure authentication. Status: U. 3D-Secure not available. Transaction is performed","3D-Secure Authentifizierung. Status: U. 3D-Secure ist nicht verfügbar. Die Transaktion wurde durchgeführt."
"3D-Secure authentication. Status: M. Card doesn\'t support 3D-Secure. Transaction is performed","3D-Secure Authentifizierung. Status: M. Karte unterstützt kein 3D-Secure."
"3D-Secure authentication. Status: %s. Transaction is performed","3D-Secure Authentifizierung. Status: %s. Transaktion wurde durchgeführt."
"You will be redirected to your bank server in a few seconds.","Sie werden in wenigen Sekunden an Ihren Bankserver weitergeleitet."
"An error occured during the payment process: Order not found.","Ein Fehler trat während der Zahlung auf: Bestellung wurde nicht gefunden."
"Error occured","Ein Fehler trat auf"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Weiter einkaufen</a>."
"Invoice text","Rechnungstext"
"Use placeholder {{store_name}}, {{order_no}}","Mögliche Platzhalter {{store_name}}, {{order_no}}"
"Enable Test Mode","Test-Modus aktivieren"
"Deactivate fraud detection and double transaction checks for development.","Deaktiviert Betrugserkennung und Prüfung auf doppelte Transatkionen während der Entwicklung."