"1&1 ipayment credit card","1&1 ipayment credit card"
"1&1 ipayment direct debit","1&1 ipayment direct debit"
"Enabled","Enabled"
"Sort order","Sort order"
"Title","Title"
"Payment to applicable countries","Payment to applicable countries"
"Payment to specific countries","Payment to specific countries"
"Credit Card Types","Credit Card Types"
"Card Verification Number","Card Verification Number"
"Transaction Type","Transaction Type"
"Account ID","Account ID"
"Application ID","Application ID"
"Application password","Application password"
"Action password","Admin-Action Password"
"Preauthorization","Preauthorization with separate capture"
"Authorization","Authorization with immediate capture"
"Ipayment error: %s","Ipayment error: %s"
"A failure during payment processing occured. Please try again later.","An failure during payment processing occured. Please try again later."
"Checkout session is empty.","Die Bestellprozess-Session ist leer."
"Has payment authentication already been processed for this order?","Ist die Zahlungsauthentifizierung für diese Bestellung bereits erfolgt?"
"The order has been canceled.","The order has been canceled."
"Payment has been preauthorized.","Payment has been preauthorized."
"Payment has been authorized and captured.","Payment has been authorized and captured."
"Payment preauthorization started.","Payment preauthorization started."
"Payment authorization started.","Payment authorization started."
"Payment has been captured.","Payment has been captured."
"Payment has been refunded.","Payment has been refunded."
"Payment has been reversed.","Payment has been reversed."
"Failed to refund payment.","Failed to refund payment."
"Storage ID is invalid.","Storage ID is invalid."
"Can not connect payment service. Please try again later.","Can not connect payment service. Please try again later."
"Can not prepare a request for the payment service. Please check your data.","Can not prepare a request for the payment service. Please check your data."
"3D-Secure Credit Cards are not allowed with Multiple Addresses Checkout","3D-Secure Credit Cards are not allowed with Multiple Addresses Checkout"
"Change credit card information","Change credit card information"
"Change bank account information","Change bank account information"
"Name on Card","Name on Card"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"What is this?","What is this?"
"Name on the Card: %s","Name on the Card: %s"
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"--Please Select--","--Please Select--"
"Month","Month"
"Year","Year"
"Account holder","Account holder"
"Bank name","Bank name"
"Bank code","Bank code"
"Account number","Account number"
"Account holder: %s","Account holder: %s"
"Bank name: %s","Bank name: %s"
"Bank code: %s","Bank code: %s"
"Account number: xxx%s","Account number: xxx%s"
"Transaction ID: %s","Transaction ID: %s"
"Customer was redirected for 3D-Secure payment.","Customer was redirected for 3D-Secure payment."
"An error during the credit card processing occured: %s","An error during the credit card processing occured: %s"
"Successful 3D-Secure authentication. Status: I. Issuer is authenticated","Successful 3D-Secure authentication. Status: I. Issuer is authenticated"
"3D-Secure authentication. Status: U. 3D-Secure not available. Transaction is performed","3D-Secure authentication. Status: U. 3D-Secure not available. Transaction is performed"
"3D-Secure authentication. Status: M. Card doesn\'t support 3D-Secure. Transaction is performed","3D-Secure authentication. Status: M. Card doesn\'t support 3D-Secure. Transaction is performed"
"3D-Secure authentication. Status: %s. Transaction is performed","3D-Secure authentication. Status: %s. Transaction is performed"
"You will be redirected to your bank server in a few seconds.","You will be redirected to your bank server in a few seconds."
"An error occured during the payment process: Order not found.","An error occured during the payment process: Order not found."
"Error occured","Error occured"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Invoice text","Invoice text"
"Use placeholder {{store_name}}, {{order_no}}","Use placeholder {{store_name}}, {{order_no}}"
"Enable Test Mode","Enable Test Mode"
"Deactivate fraud detection and double transaction checks for development.","Deactivate fraud detection and double transaction checks for development."